workerid,condition,browser,gender,age,showEarlierWheelFirst,order.1,order.2,order.3,order.4,order.5,askAboutLeftWheelFirst.1,askAboutLeftWheelFirst.2,askAboutLeftWheelFirst.3,askAboutLeftWheelFirst.4,askAboutLeftWheelFirst.5,showFirstOfPairFirst.1,showFirstOfPairFirst.2,showFirstOfPairFirst.3,showFirstOfPairFirst.4,showFirstOfPairFirst.5,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,attentionCheck1Time.1,attentionCheck1Time.2,attentionCheck1Time.3,attentionCheck1Time.4,attentionCheck1Time.5,attentionCheck2Time.1,attentionCheck2Time.2,attentionCheck2Time.3,attentionCheck2Time.4,attentionCheck2Time.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
49,1,Chrome,M,37,0,1,2,3,4,5,0,0,1,0,0,0,1,0,0,0,2,9,8,10,6,21,22,22,33,31,31,26,50,18,46,45,15,50,25,55,60,50,75,60,70,90,75,90,100,85,0.54,0.24,0.32,0.43,0.26,0.3,0.4,0.5,0.35,0.53,0.16,0.36,0.18,0.22,0.21,1,2,2,3,1,45,50,75,100,55,0.54,0.4,0.5,0.22,0.26,41,29,11,9,21,0,40,20,15,25,40,65,45,70,45,95,100,70,80,80,0.27,0.38,0.41,0.45,0.3,0.4,0.34,0.35,0.29,0.3,0.33,0.28,0.24,0.26,0.4,2,2,2,3,3,40,65,45,80,80,0.4,0.34,0.35,0.26,0.4,0.551,0.151,0.704,0.026,0.333,0.508,0.087,0.443,0.097,0.403,45,50,75,100,55,40,65,45,80,80,2,2,2,2,2,10,10,10,10,10,59231,55756,55489,44438,226783,6,5,5,8,5,2,2,1,1,1,7,6,5,6,4,2,2,1,1,2,6,7,4,7,3,2,4,1,1,3,5,7,4,7,5,2,2,1,1,1,5,5,4,7,4,1,2,1,1,1,6,4,3,6,1,2,3,1,1,1,7,6,6,9,6,2,1,1,1,1,5,5,5,8,4,1,2,1,2,2,5,6,5,4,4,2,2,2,3,2
50,1,Chrome,F,22,1,1,2,3,4,5,0,0,1,1,0,0,0,1,1,1,9,3,6,7,8,22,23,31,11,22,29,3,21,43,11,40,0,25,10,20,65,30,45,50,45,100,60,80,75,70,0.38,0.41,0.3,0.55,0.41,0.34,0.37,0.3,0.28,0.35,0.28,0.22,0.4,0.17,0.24,2,3,3,1,2,65,60,80,10,45,0.34,0.22,0.4,0.55,0.35,26,8,46,19,50,15,15,55,25,50,50,70,70,45,75,75,80,85,80,90,0.24,0.49,0.26,0.31,0.32,0.4,0.27,0.53,0.32,0.5,0.36,0.24,0.21,0.37,0.18,2,2,1,1,2,50,70,55,25,75,0.4,0.27,0.26,0.31,0.5,0.623,0.826,0.696,0.409,0.086,0.227,0.658,0.655,0.577,0.422,65,60,80,10,45,50,70,55,25,75,10,10,10,10,10,2,2,2,2,2,60922,58830,43335,48217,44550,8,9,9,6,7,5,1,1,7,4,8,9,9,6,8,6,2,1,8,3,8,7,7,5,7,3,1,2,6,5,7,8,6,5,8,4,2,3,8,2,8,9,6,6,9,4,2,7,9,3,6,8,5,4,7,5,3,4,7,3,7,8,7,5,8,4,2,6,7,3,8,9,9,3,8,3,1,6,8,2,7,8,8,7,7,4,2,5,4,3
51,1,Chrome,M,39,1,1,2,3,4,5,1,0,1,1,1,1,1,1,1,0,2,6,8,9,1,21,31,22,22,12,41,21,11,26,11,0,25,20,15,20,40,45,45,50,45,95,80,70,75,70,0.27,0.3,0.41,0.24,0.41,0.4,0.3,0.35,0.4,0.35,0.33,0.4,0.24,0.36,0.24,2,3,2,2,2,40,80,45,50,45,0.4,0.4,0.35,0.4,0.35,31,46,50,29,4,45,55,50,40,10,60,70,75,65,35,90,85,90,100,75,0.54,0.26,0.32,0.38,0.5,0.3,0.53,0.5,0.34,0.31,0.16,0.21,0.18,0.28,0.19,1,1,2,2,1,45,55,75,65,10,0.54,0.26,0.5,0.34,0.5,0.95,0.473,0.75,0.738,0.068,0.974,0.555,0.825,0.099,0.905,40,80,45,50,45,45,55,75,65,10,10,10,10,10,10,2,2,2,2,2,137980,86675,114097,89251,95959,7,9,7,8,6,2,1,1,1,2,5,9,6,8,6,4,1,2,2,3,6,9,6,6,3,1,1,1,2,3,6,8,8,7,5,2,1,1,2,3,7,9,9,6,3,2,2,1,3,7,5,9,9,2,1,3,1,1,3,5,7,9,8,7,4,2,1,1,2,3,9,9,8,6,4,2,1,1,3,7,8,9,8,2,2,2,1,1,3,5
52,1,Firefox,M,35,0,1,2,3,4,5,1,1,1,1,0,1,0,0,0,1,6,9,8,7,2,31,22,22,11,21,21,29,50,19,41,25,40,50,25,0,45,65,75,45,40,80,100,90,80,95,0.3,0.38,0.32,0.31,0.27,0.3,0.34,0.5,0.32,0.4,0.4,0.28,0.18,0.37,0.33,3,2,2,1,2,80,65,75,25,40,0.4,0.34,0.5,0.31,0.4,46,26,11,43,31,55,15,20,10,45,70,50,45,50,60,85,75,70,75,90,0.26,0.24,0.41,0.55,0.54,0.53,0.4,0.35,0.28,0.3,0.21,0.36,0.24,0.17,0.16,1,2,2,1,1,55,50,45,10,45,0.26,0.4,0.35,0.55,0.54,0.185,0.952,0.189,0.114,0.538,0.89,0.351,0.805,0.753,0.757,80,65,75,25,40,55,50,45,10,45,2,2,2,2,2,10,10,10,10,10,235377,74176,67669,75346,84810,9,8,9,7,9,1,1,1,3,1,9,8,9,7,8,1,1,1,5,2,9,8,9,6,8,1,1,1,4,1,9,9,8,5,8,1,1,1,4,2,9,9,8,6,8,1,1,1,5,3,9,9,8,5,6,1,1,1,3,3,9,9,7,7,7,1,1,2,2,3,9,9,8,8,8,1,1,3,3,2,9,9,7,6,7,1,1,3,5,3
53,1,Chrome,M,21,0,1,2,3,4,5,0,1,1,0,0,0,1,0,1,0,3,7,6,10,4,23,11,31,33,32,3,43,46,9,23,0,10,55,15,20,30,50,70,70,60,60,75,85,80,90,0.41,0.55,0.26,0.45,0.34,0.37,0.28,0.53,0.29,0.22,0.22,0.17,0.21,0.26,0.44,3,1,1,3,2,60,10,55,80,60,0.22,0.55,0.26,0.26,0.22,8,19,21,18,36,15,25,25,25,30,70,45,45,60,50,80,80,80,100,90,0.49,0.31,0.3,0.43,0.39,0.27,0.32,0.3,0.35,0.25,0.24,0.37,0.4,0.22,0.36,2,1,3,3,3,70,25,80,100,90,0.27,0.31,0.4,0.22,0.36,0.414,0.018,0.649,0.204,0.346,0.991,0.515,0.19,0.488,0.957,60,10,55,80,60,70,25,80,100,90,2,2,2,2,2,10,10,10,10,10,67095,39814,54378,44295,42958,7,5,6,7,6,1,1,1,1,1,5,3,2,3,4,1,1,1,1,1,7,3,6,6,5,1,2,5,1,1,7,6,7,8,7,1,2,1,1,1,3,5,3,6,5,1,2,3,1,1,7,5,6,7,7,1,1,1,1,1,8,7,6,8,7,1,3,1,1,1,4,2,4,2,5,1,1,1,1,1,8,6,6,3,6,1,1,1,5,1
54,1,Chrome,M,24,1,1,2,3,4,5,1,1,0,0,0,0,1,1,1,1,9,4,2,5,8,22,32,21,13,22,29,36,41,37,11,40,30,0,20,20,65,50,40,50,45,100,90,95,90,70,0.38,0.39,0.27,0.28,0.41,0.34,0.25,0.4,0.19,0.35,0.28,0.36,0.33,0.53,0.24,2,3,2,1,2,65,90,40,20,45,0.34,0.36,0.4,0.28,0.35,26,23,31,15,50,15,20,45,30,50,50,60,60,50,75,75,90,90,95,90,0.24,0.34,0.54,0.3,0.32,0.4,0.22,0.3,0.3,0.5,0.36,0.44,0.16,0.4,0.18,2,2,1,3,2,50,60,45,95,75,0.4,0.22,0.54,0.4,0.5,0.663,0.035,0.78,0.887,0.086,0.438,0.573,0.201,0.76,0.87,65,90,40,20,45,50,60,45,95,75,10,10,2,10,10,2,2,10,2,2,53557,86307,409061,49627,31995,8,9,7,1,6,2,1,1,9,1,8,9,9,6,9,1,1,1,9,1,1,9,7,1,8,1,1,1,1,1,8,8,5,9,9,1,1,1,1,1,9,9,9,9,9,1,1,8,1,2,8,9,1,9,9,1,1,1,1,1,8,8,5,8,9,1,1,1,1,1,9,9,8,9,9,2,1,1,2,1,9,9,7,9,9,1,1,1,1,2
55,1,Firefox,F,57,0,1,2,3,4,5,1,1,1,1,0,0,0,1,1,0,10,9,4,2,1,33,22,32,21,12,18,29,36,41,11,25,40,30,0,20,60,65,50,40,45,100,100,90,95,70,0.43,0.38,0.39,0.27,0.41,0.35,0.34,0.25,0.4,0.35,0.22,0.28,0.36,0.33,0.24,3,2,3,2,2,100,65,90,40,45,0.22,0.34,0.36,0.4,0.35,9,26,23,31,4,15,15,20,45,10,70,50,60,60,35,80,75,90,90,75,0.45,0.24,0.34,0.54,0.5,0.29,0.4,0.22,0.3,0.31,0.26,0.36,0.44,0.16,0.19,3,2,2,1,1,80,50,60,45,10,0.26,0.4,0.22,0.54,0.5,0.428,0.11,0.394,0.815,0.889,0.754,0.551,0.96,0.409,0.249,100,65,90,40,45,80,50,60,45,10,2,2,2,2,2,10,10,10,10,10,174603,144618,120765,121440,129980,9,7,9,9,6,1,1,1,1,1,9,7,9,9,6,1,1,1,1,3,9,5,9,9,1,1,1,1,1,3,9,7,7,6,5,1,1,1,1,1,9,7,7,6,5,1,1,1,3,5,9,6,5,1,1,1,1,2,3,5,9,6,9,9,7,1,1,1,1,2,9,6,9,9,7,1,2,1,1,4,9,5,9,3,2,1,2,1,3,4
56,1,Chrome,M,23,0,1,2,3,4,5,0,0,1,0,1,1,0,1,0,0,8,6,4,9,3,22,31,32,22,23,11,46,36,29,3,20,55,30,40,0,45,70,50,65,30,70,85,90,100,60,0.41,0.26,0.39,0.38,0.41,0.35,0.53,0.25,0.34,0.37,0.24,0.21,0.36,0.28,0.22,2,1,3,2,3,45,55,90,65,60,0.35,0.26,0.36,0.34,0.22,50,21,23,26,8,50,25,20,15,15,75,45,60,50,70,90,80,90,75,80,0.32,0.3,0.34,0.24,0.49,0.5,0.3,0.22,0.4,0.27,0.18,0.4,0.44,0.36,0.24,2,3,2,2,2,75,80,60,50,70,0.5,0.4,0.22,0.4,0.27,0.262,0.885,0.957,0.742,0.044,0.164,0.51,0.716,0.673,0.528,50,25,90,65,60,45,55,60,50,70,10,10,10,2,2,2,2,2,10,10,126549,98489,81768,124149,111301,2,1,9,6,9,8,7,1,3,1,1,2,9,5,9,9,8,1,4,1,2,2,9,4,9,9,8,1,7,1,5,2,7,6,7,6,8,2,2,2,3,1,7,5,7,7,9,3,6,1,3,3,5,4,8,7,9,3,6,2,6,4,8,6,9,5,7,2,4,1,4,4,8,5,8,5,7,2,5,1,4,3,7,4,9,7,8,2,7,2
57,1,Firefox,F,24,0,1,2,3,4,5,1,1,0,1,0,1,1,1,0,1,10,8,9,1,6,33,22,22,12,31,9,11,26,11,21,15,20,15,20,25,70,45,50,45,45,80,70,75,70,80,0.45,0.41,0.24,0.41,0.3,0.29,0.35,0.4,0.35,0.3,0.26,0.24,0.36,0.24,0.4,3,2,2,2,3,80,45,50,45,80,0.26,0.35,0.4,0.35,0.4,18,50,29,4,46,25,50,40,10,55,60,75,65,35,70,100,90,100,75,85,0.43,0.32,0.38,0.5,0.26,0.35,0.5,0.34,0.31,0.53,0.22,0.18,0.28,0.19,0.21,3,2,2,1,1,100,75,65,10,55,0.22,0.5,0.34,0.5,0.26,0.395,0.729,0.01,0.556,0.664,0.356,0.785,0.352,0.224,0.314,80,45,50,45,80,100,75,65,10,55,2,2,2,2,2,10,10,10,10,10,126604,94426,79097,78493,79032,8,7,6,6,8,1,2,3,3,2,7,6,5,6,7,2,4,4,4,1,9,6,7,7,8,2,5,2,4,2,9,7,7,3,5,1,2,3,6,4,8,6,6,3,5,1,5,4,8,6,8,8,6,2,2,1,3,4,6,4,9,6,6,5,6,1,3,3,6,3,8,6,6,5,4,1,5,5,7,5,9,7,7,4,6,1,3,3,6,5
58,1,Firefox,M,24,0,1,2,3,4,5,0,0,1,0,0,1,1,0,1,0,4,8,7,10,6,32,22,11,33,31,36,11,19,9,46,30,20,25,15,55,50,45,45,70,70,90,70,80,80,85,0.39,0.41,0.31,0.45,0.26,0.25,0.35,0.32,0.29,0.53,0.36,0.24,0.37,0.26,0.21,3,2,1,3,1,90,45,25,80,55,0.36,0.35,0.31,0.26,0.26,23,50,43,18,21,20,50,10,25,25,60,75,50,60,45,90,90,75,100,80,0.34,0.32,0.55,0.43,0.3,0.22,0.5,0.28,0.35,0.3,0.44,0.18,0.17,0.22,0.4,2,2,1,3,3,60,75,10,100,80,0.22,0.5,0.55,0.22,0.4,0.856,0.922,0.742,0.709,0.67,0.829,0.953,0.322,0.016,0.752,90,70,80,80,55,60,75,10,100,80,2,2,2,2,2,10,10,10,10,10,130943,143422,174667,285131,80039,8,7,8,7,7,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,5,4,5,2,1,1,4,1,3,1,8,7,5,9,7,1,1,4,1,5,3,3,3,4,6,4,1,4,1,5,3,2,1,1,6,6,1,4,1,1,6,8,6,8,8,1,1,1,1,1,1,2,4,4,1,1,2,4,1,1,1,2,5,1,5,5,3,5,1,1
59,1,Chrome,M,34,0,1,2,3,4,5,0,1,0,0,1,1,0,1,1,0,3,9,2,8,6,23,22,21,22,31,8,29,41,11,46,15,40,0,20,55,70,65,40,45,70,80,100,95,70,85,0.49,0.38,0.27,0.41,0.26,0.27,0.34,0.4,0.35,0.53,0.24,0.28,0.33,0.24,0.21,2,2,2,2,1,70,65,40,45,55,0.27,0.34,0.4,0.35,0.26,3,26,31,50,21,0,15,45,50,25,30,50,60,75,45,60,75,90,90,80,0.41,0.24,0.54,0.32,0.3,0.37,0.4,0.3,0.5,0.3,0.22,0.36,0.16,0.18,0.4,3,2,1,2,3,60,50,45,75,80,0.22,0.4,0.54,0.5,0.4,0.876,0.525,0.583,0.885,0.442,0.469,0.025,0.027,0.557,0.942,70,65,40,45,55,60,50,45,75,80,2,2,2,2,2,10,10,10,10,10,104964,80326,85469,90053,83695,7,8,7,7,6,3,1,2,1,3,5,8,6,7,6,5,1,4,3,4,6,8,5,7,4,6,1,2,3,3,8,8,7,8,8,1,1,2,1,1,8,8,6,7,8,1,1,2,2,1,8,8,7,8,5,1,1,2,2,1,8,8,7,8,8,1,1,3,2,2,8,8,7,8,8,1,1,2,2,2,8,8,6,8,5,1,1,3,2,1
60,1,Chrome,F,36,0,1,2,3,4,5,0,1,0,0,1,0,0,0,1,0,3,10,7,6,2,23,33,11,31,21,3,18,19,21,31,0,25,25,25,45,30,60,45,45,60,60,100,80,80,90,0.41,0.43,0.31,0.3,0.54,0.37,0.35,0.32,0.3,0.3,0.22,0.22,0.37,0.4,0.16,3,3,1,3,1,60,100,25,80,45,0.22,0.22,0.31,0.4,0.54,8,9,43,46,41,15,15,10,55,0,70,70,50,70,40,80,80,75,85,95,0.49,0.45,0.55,0.26,0.27,0.27,0.29,0.28,0.53,0.4,0.24,0.26,0.17,0.21,0.33,2,3,1,1,2,70,80,10,55,40,0.27,0.26,0.55,0.26,0.4,0.605,0.958,0.889,0.25,0.625,0.985,0.699,0.523,0.724,0.602,60,100,25,80,45,70,80,10,55,40,2,2,2,2,2,10,10,10,10,10,66760,48437,103938,43048,62109,9,9,6,9,5,1,1,2,1,4,9,9,6,9,5,1,1,5,1,4,9,9,2,9,3,1,1,6,1,4,8,9,3,7,8,1,1,5,2,1,9,9,2,7,8,1,1,7,2,1,9,9,2,7,9,1,1,6,2,1,9,9,7,7,8,1,1,3,2,2,9,9,3,7,8,1,1,7,2,2,9,9,3,7,8,1,1,7,1,1
61,1,Chrome,M,24,0,1,2,3,4,5,1,0,1,0,0,0,0,0,0,0,6,10,2,3,4,31,33,21,23,32,46,18,31,3,23,55,25,45,0,20,70,60,60,30,60,85,100,90,60,90,0.26,0.43,0.54,0.41,0.34,0.53,0.35,0.3,0.37,0.22,0.21,0.22,0.16,0.22,0.44,1,3,1,3,2,55,100,45,60,60,0.26,0.22,0.54,0.22,0.22,21,9,41,8,36,25,15,0,15,30,45,70,40,70,50,80,80,95,80,90,0.3,0.45,0.27,0.49,0.39,0.3,0.29,0.4,0.27,0.25,0.4,0.26,0.33,0.24,0.36,3,3,2,2,3,80,80,40,70,90,0.4,0.26,0.4,0.27,0.36,0.729,0.545,0.87,0.678,0.801,0.507,0.053,0.235,0.135,0.395,55,100,45,60,60,80,80,40,70,90,2,2,2,2,2,10,10,10,10,10,154966,52612,69564,50795,65735,1,9,1,9,5,9,1,9,1,5,1,9,1,9,5,9,1,9,1,5,1,9,1,9,5,9,1,9,1,5,9,9,5,8,9,1,1,5,1,1,9,9,5,8,9,1,1,5,1,1,9,9,5,8,9,1,1,5,1,1,5,9,1,9,7,5,1,9,1,1,5,9,1,9,7,5,1,9,1,1,5,9,1,9,7,5,1,9,1,1
62,1,Chrome,F,42,0,1,2,3,4,5,0,0,1,1,1,1,0,0,1,1,10,6,2,8,4,33,31,21,22,32,9,46,31,11,36,15,55,45,20,30,70,70,60,45,50,80,85,90,70,90,0.45,0.26,0.54,0.41,0.39,0.29,0.53,0.3,0.35,0.25,0.26,0.21,0.16,0.24,0.36,3,1,1,2,3,80,55,45,45,90,0.26,0.26,0.54,0.35,0.36,18,21,41,50,23,25,25,0,50,20,60,45,40,75,60,100,80,95,90,90,0.43,0.3,0.27,0.32,0.34,0.35,0.3,0.4,0.5,0.22,0.22,0.4,0.33,0.18,0.44,3,3,2,2,2,100,80,40,75,60,0.22,0.4,0.4,0.5,0.22,0.639,0.232,0.722,0.788,0.844,0.087,0.612,0.832,0.915,0.845,80,55,45,45,90,100,80,40,75,60,2,2,10,2,2,10,10,2,10,10,105847,68166,69341,83809,72923,9,7,6,7,9,1,2,2,1,1,9,8,6,7,9,1,3,2,2,1,9,5,6,5,9,1,1,1,1,1,9,9,6,7,8,1,1,2,1,1,9,9,6,9,9,1,1,3,1,2,9,9,6,5,9,1,1,1,1,1,9,9,8,9,9,1,1,1,1,1,9,9,6,9,9,1,1,2,1,1,9,9,5,9,9,1,1,1,1,1
63,1,Safari,M,48,1,1,2,3,4,5,1,0,0,1,0,1,0,0,0,1,3,10,6,9,7,23,33,31,22,11,8,18,46,29,43,15,25,55,40,10,70,60,70,65,50,80,100,85,100,75,0.49,0.43,0.26,0.38,0.55,0.27,0.35,0.53,0.34,0.28,0.24,0.22,0.21,0.28,0.17,2,3,1,2,1,70,100,55,65,10,0.27,0.22,0.26,0.34,0.55,3,9,21,26,19,0,15,25,15,25,30,70,45,50,45,60,80,80,75,80,0.41,0.45,0.3,0.24,0.31,0.37,0.29,0.3,0.4,0.32,0.22,0.26,0.4,0.36,0.37,3,3,3,2,1,60,80,80,50,25,0.22,0.26,0.4,0.4,0.31,0.922,0.872,0.08,0.524,0.783,0.997,0.224,0.041,0.243,0.008,70,100,55,65,10,60,80,80,50,25,10,10,10,10,10,2,2,2,2,2,133073,93247,89011,87172,103467,8,9,5,7,2,1,1,5,5,8,8,9,5,6,2,2,1,7,4,7,7,7,5,5,2,2,1,2,3,7,9,9,9,6,3,1,1,1,3,7,9,9,9,6,3,1,1,1,3,7,8,3,7,6,2,1,1,1,2,7,9,9,8,6,2,1,1,1,4,8,9,9,7,6,2,1,1,1,3,8,7,5,5,4,3,1,1,1,2,3
64,1,Chrome,M,30,1,1,2,3,4,5,1,1,0,1,0,1,1,1,0,0,4,5,6,9,10,32,13,31,22,33,36,37,21,29,18,30,20,25,40,25,50,50,45,65,60,90,90,80,100,100,0.39,0.28,0.3,0.38,0.43,0.25,0.19,0.3,0.34,0.35,0.36,0.53,0.4,0.28,0.22,3,1,3,2,3,90,20,80,65,100,0.36,0.28,0.4,0.34,0.22,23,15,46,26,9,20,30,55,15,15,60,50,70,50,70,90,95,85,75,80,0.34,0.3,0.26,0.24,0.45,0.22,0.3,0.53,0.4,0.29,0.44,0.4,0.21,0.36,0.26,2,3,1,2,3,60,95,55,50,80,0.22,0.4,0.26,0.4,0.26,0.142,0.578,0.364,0.358,0.124,0.516,0.645,0.155,0.089,0.212,90,20,80,40,100,60,95,70,50,80,10,10,10,10,10,2,2,10,2,2,62252,59904,45304,52004,57539,9,5,6,6,6,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,5,5,5,1,1,1,1,1,5,2,1,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,8,1,1,1,1,1,3,1,2,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
65,1,Chrome,M,24,0,1,2,3,4,5,1,0,0,0,1,1,0,0,1,0,2,10,3,6,1,21,33,23,31,12,41,18,3,21,11,0,25,0,25,20,40,60,30,45,45,95,100,60,80,70,0.27,0.43,0.41,0.3,0.41,0.4,0.35,0.37,0.3,0.35,0.33,0.22,0.22,0.4,0.24,2,3,3,3,2,40,100,60,80,45,0.4,0.22,0.22,0.4,0.35,31,9,8,46,4,45,15,15,55,10,60,70,70,70,35,90,80,80,85,75,0.54,0.45,0.49,0.26,0.5,0.3,0.29,0.27,0.53,0.31,0.16,0.26,0.24,0.21,0.19,1,3,2,1,1,45,80,70,55,10,0.54,0.26,0.27,0.26,0.5,0.396,0.021,0.768,0.969,0.461,0.561,0.024,0.826,0.251,0.256,40,100,60,80,45,45,80,70,55,10,10,2,2,2,10,2,10,10,10,2,45883,132006,47158,56554,46730,1,9,9,9,9,6,1,1,1,1,1,9,9,9,9,7,1,1,1,1,1,9,9,9,9,4,1,1,1,1,5,9,9,9,1,2,1,1,1,5,5,9,9,9,1,1,1,1,5,9,5,9,9,9,1,1,1,1,1,9,9,9,9,9,5,1,1,1,1,5,9,9,9,9,5,1,1,1,5,5,9,9,9,9,5,1,1,1,1,5
66,1,Firefox,M,32,1,1,2,3,4,5,0,1,0,0,0,0,0,0,1,0,6,10,2,7,4,31,33,21,11,32,46,18,31,43,23,55,25,45,10,20,70,60,60,50,60,85,100,90,75,90,0.26,0.43,0.54,0.55,0.34,0.53,0.35,0.3,0.28,0.22,0.21,0.22,0.16,0.17,0.44,1,3,1,1,2,55,100,45,10,60,0.26,0.22,0.54,0.55,0.22,21,9,41,19,36,25,15,0,25,30,45,70,40,45,50,80,80,95,80,90,0.3,0.45,0.27,0.31,0.39,0.3,0.29,0.4,0.32,0.25,0.4,0.26,0.33,0.37,0.36,3,3,2,1,3,80,80,40,25,90,0.4,0.26,0.4,0.31,0.36,0.349,0.87,0.539,0.242,0.973,0.963,0.679,0.232,0.482,0.037,55,100,45,10,60,80,80,40,25,90,10,10,10,10,10,2,2,2,2,2,73945,63019,45789,46935,56424,5,9,3,4,5,3,1,8,6,4,4,8,3,5,5,7,2,9,6,6,3,9,1,3,4,3,1,9,6,7,9,9,5,4,9,1,1,6,7,1,3,9,5,4,9,1,1,7,6,1,8,9,5,2,9,1,1,6,7,1,6,9,4,3,6,2,1,6,7,3,3,9,4,3,6,3,1,7,8,3,6,9,3,2,7,4,1,8,8,3
67,1,Chrome,F,34,1,1,2,3,4,5,0,1,1,1,1,0,1,1,1,0,4,5,7,3,6,32,13,11,23,31,23,37,43,8,46,20,20,10,15,55,60,50,50,70,70,90,90,75,80,85,0.34,0.28,0.55,0.49,0.26,0.22,0.19,0.28,0.27,0.53,0.44,0.53,0.17,0.24,0.21,2,1,1,2,1,60,20,10,70,55,0.22,0.28,0.55,0.27,0.26,36,15,19,3,21,30,30,25,0,25,50,50,45,30,45,90,95,80,60,80,0.39,0.3,0.31,0.41,0.3,0.25,0.3,0.32,0.37,0.3,0.36,0.4,0.37,0.22,0.4,3,3,1,3,3,90,95,25,60,80,0.36,0.4,0.31,0.22,0.4,0.978,0.381,0.26,0.174,0.628,0.93,0.748,0.752,0.901,0.848,60,20,10,70,55,90,95,25,60,80,10,10,10,10,10,2,2,2,2,2,63794,50909,44211,50883,37589,6,1,1,7,7,3,9,9,2,3,6,1,1,8,7,5,9,9,2,3,6,1,1,8,7,4,9,9,2,3,9,9,1,9,9,1,1,9,1,1,9,9,1,9,9,1,1,9,1,1,9,9,1,9,9,1,1,9,1,1,9,7,1,9,8,1,3,9,1,2,9,6,1,9,8,1,5,9,1,2,9,4,1,9,8,1,6,9,1,2
